,0
0,100.0
1,141.25375446227542
2,199.52623149688796
3,281.8382931264454
4,199.526231496888
5,199.526231496888
6,199.526231496888
7,251.18864315095806
8,251.18864315095806
9,251.18864315095806
10,316.227766016838
11,251.18864315095806
12,251.18864315095806
13,251.18864315095806
14,281.8382931264454
15,251.18864315095806
16,251.18864315095806
17,251.18864315095806
